OBJECTID,agency_id,route_id,bus_direct,agency_sto,bus_headsi,stop_name_,bus_total_,bus_peak_p,stop_descr,project_st,project_de,system_typ,bus_headwa,min_headwa
3179,SF,44,0,SF-44-0,Bayview District,15864,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3180,SF,44,0,SF-44-0,Bayview District,15864,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3181,SF,44,0,SF-44-0,Bayview District,15864,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3182,SF,44,0,SF-44-0,Bayview District,15864,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3183,SF,44,0,SF-44-0,Bayview District,15864,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3184,SF,44,0,SF-44-0,Bayview District,15876,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3185,SF,44,0,SF-44-0,Bayview District,15876,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3186,SF,44,0,SF-44-0,Bayview District,15876,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3187,SF,44,0,SF-44-0,Bayview District,15876,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3188,SF,44,0,SF-44-0,Bayview District,15876,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3189,SF,44,0,SF-44-0,Bayview District,15877,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3190,SF,44,0,SF-44-0,Bayview District,15877,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3191,SF,44,0,SF-44-0,Bayview District,15877,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3192,SF,44,0,SF-44-0,Bayview District,15877,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3193,SF,44,0,SF-44-0,Bayview District,15877,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3194,SF,44,0,SF-44-0,Bayview District,15880,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3195,SF,44,0,SF-44-0,Bayview District,15880,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3196,SF,44,0,SF-44-0,Bayview District,15880,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3197,SF,44,0,SF-44-0,Bayview District,15880,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3198,SF,44,0,SF-44-0,Bayview District,15880,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3199,SF,44,0,SF-44-0,Bayview District,16394,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3200,SF,44,0,SF-44-0,Bayview District,16394,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3201,SF,44,0,SF-44-0,Bayview District,16397,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3202,SF,44,0,SF-44-0,Bayview District,16397,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3203,SF,44,0,SF-44-0,Bayview District,16397,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3204,SF,44,0,SF-44-0,Bayview District,16397,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3205,SF,44,0,SF-44-0,Bayview District,16410,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3206,SF,44,0,SF-44-0,Bayview District,16410,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3207,SF,44,0,SF-44-0,Bayview District,16412,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3208,SF,44,0,SF-44-0,Bayview District,16412,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3209,SF,44,0,SF-44-0,Bayview District,16415,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3210,SF,44,0,SF-44-0,Bayview District,16415,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3211,SF,44,0,SF-44-0,Bayview District,16416,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
